Date,Name,Comment
Mon Apr 06 23:23:56 PDT 2009,_Desperado,"In a horrible self fulfilling slump. Experts say they dont exist...wanna bet? Nevermind, I'd lose that too. Taking hiatus for a few days "
Tue Apr 07 04:12:40 PDT 2009,JNxx,my fingers ache  they feel like they have arthritis
Tue Apr 07 00:21:58 PDT 2009,emmaketurah,"@brightillusions  only one to fill that position. They've just tightened our borders or something  Which sucks, I want you to move here!"
Tue Apr 07 04:18:11 PDT 2009,xtriKARAtopsx,@kristinabitch I can't believe shes going to be gone in less than 24 hours. I'm going to miss her so much. 
Tue Apr 07 04:01:19 PDT 2009,tearjerkeer,Yess the sun is finally out  ! NOO i gotta go to work 
Mon Apr 06 23:28:52 PDT 2009,omg_lindsay,going to san jose tomorrow to see one of my old cold stoners before the sharks game. it's gonna be a good day 
Mon Apr 06 22:58:37 PDT 2009,MonikkaB,@paul_e_wog Wait...is it a game or just episodes? I'm so confused. 
Mon Apr 06 22:33:00 PDT 2009,tmarkwart,spent the evening outside in the beautiful warm weather. finally feels like spring 
Mon Apr 06 23:32:37 PDT 2009,tsarnick,@OfficialPRofOZ you deserve it  you work very hard for Oz!!
Mon Apr 06 22:50:03 PDT 2009,chann16,@nicolerichie OH MY YES!! i miss 
Tue Apr 07 01:42:30 PDT 2009,blodeuedd83,Still a bit sick  But working on 2 articles today
Tue Apr 07 00:28:47 PDT 2009,charlie4dougie,@dougiemcfly morning mr poynter  ur up early
Mon Apr 06 22:33:39 PDT 2009,VctorianRomantc,@betzitall Wall-E is a great battle for stress.   Yay for staying up all night and doing homework together!
Mon Apr 06 22:53:42 PDT 2009,isajeep,@BkBap Ahhh sound advice. 
Tue Apr 07 03:21:52 PDT 2009,KatyHarwood01,"mmmm chocolate cupcake.... This is all Lorraine Kelly's fault you know, her and her cakestand full of cupcakes.. I'm getting hooked "
Mon Apr 06 23:13:38 PDT 2009,garrymullen,@dk_emmanuel Solomon was supposed to be wise - but 3000 wives - I'm thinking not 
Mon Apr 06 23:00:22 PDT 2009,ilovedanah,@nachojohnny Brian don't make me fuck u up LOL I replied 2 ur message...did u get my # ? I miss u 
Tue Apr 07 02:34:27 PDT 2009,AndrewRowett,"morning !   should have by blackberry by the end of today Wahoooooo, a phone that should hopefully work "
Tue Apr 07 00:08:10 PDT 2009,Ach3l3s,@lurkey Hurray i got it 
Tue Apr 07 01:03:31 PDT 2009,Schlenger,Charlie the Unicorn 3 ist raus! 
Tue Apr 07 02:33:56 PDT 2009,kateditor,the silent house; music to my ears  just being tonight
Tue Apr 07 01:03:40 PDT 2009,chrisgiovannix,I'm sorry. I've ruined everything between us. forgive me? 
Tue Apr 07 04:10:37 PDT 2009,jerryfetus,I hate the V plotarc on True Blood  that poor chubby vampire guy getting staked was so sad
Tue Apr 07 02:13:11 PDT 2009,PrajnaK,arreeyy.. mad - o - wat..i'm wit u.. coz maine bhi.. intro hi start kiya 
Tue Apr 07 04:33:19 PDT 2009,tannwick,"Not much achieved, time to rethink plans for day  Neck pain not helping matters."
Tue Apr 07 02:34:17 PDT 2009,KatesMcGee,"@mileycyrus your movie isn't out until Friday my dear! no worries, we'll all be seeing that too!! "
Tue Apr 07 00:41:34 PDT 2009,__Ilse,@shelikescute that's so sad 
Tue Apr 07 01:08:29 PDT 2009,icycindz,Time to sleep!!!  Nyt SoCal!!! See yah in 3 weeks!!!Have a blessed Holy Week!!! =D
Mon Apr 06 23:43:12 PDT 2009,allieteebone,sleepover with Corey and Korey. 
Tue Apr 07 01:39:01 PDT 2009,GdwnsnHo,@kisswithatear lols  scared are we?
Mon Apr 06 22:41:54 PDT 2009,jenners101,"Aww, Sandra Cantu is found dead in a suitcase  Missing children stories never seem to go good. Poor family."
Tue Apr 07 01:36:14 PDT 2009,kyleskywalker,@mattg00d i dont like you not having internet. You dont tweet as much. 
Tue Apr 07 04:08:34 PDT 2009,thebenjie,@IslandPete So the island won't be available before easter i hoped it would be an easter present for the players 
Tue Apr 07 04:33:26 PDT 2009,itsjustmandii,heading off to workkk 
Tue Apr 07 01:13:25 PDT 2009,tsarnick,"@MissxMarisa cool cool, i really like Mexican food "
Tue Apr 07 02:28:59 PDT 2009,Celz29,trying to check my phone bill online seems like it doesn't like me though! 
Mon Apr 06 22:52:56 PDT 2009,Magnumatic,I'm getting ready to drink tea.. Emma's gonna eat some Rice meal. 
Mon Apr 06 22:36:38 PDT 2009,saraguilford12,"feeling lost, naked and confused (JK, sort of).....no iphone for me. "
Tue Apr 07 03:20:30 PDT 2009,clairemims,@westy154 Me too   I don't do suits.  I look like I'm in fancy dress.  Especially with shoulder pads.
